1 0 5107
2 5107 9792
3 14899 1653
4 16552 742
5 17294 727
6 18021 2921
7 20942 1871
8 22813 2312
9 25125 3183
10 28308 2894
11 31202 2957
12 34159 3009
13 37168 2439
14 39607 2470
15 42077 2539
16 44616 855
17 45471 1597
18 47068 5831
19 52899 2579
20 55478 1289
21 56767 2046
22 58813 1581
23 60394 2899
24 63293 5804
25 69097 1196
26 70293 2823
27 73116 1845
28 74961 1238
29 76199 1122
30 77321 1779
31 79100 5993
32 85093 1803
33 86896 3441
34 90337 1596
35 91933 614
36 92547 2705
37 95252 900
38 96152 5762
39 101914 5212
40 107126 1614
41 108740 765
42 109505 794
43 110299 2486
44 112785 5801
45 118586 3740
46 122326 3716
47 126042 3674
48 129716 3769
50 133485 3851
62 137336 630
63 137966 5821
64 143787 686
65 144473 2806
66 147279 2869
67 150148 1094
68 151242 1277
69 152519 7582
70 160101 1486
71 161587 2298
72 163885 2098
73 165983 1459
74 167442 985
75 168427 1704
76 170131 2624
77 172755 1911
78 174666 17042
79 191708 1548
80 193256 4849
81 198105 2110
82 200215 2821
83 203036 6281
84 209317 535
85 209852 4035
86 213887 2043
87 215930 1214
88 217144 4660
89 221804 855
90 222659 2119
91 224778 1897
92 226675 4184
93 230859 4697
94 235556 9239
95 244795 4132
96 248927 2708
97 251635 846
98 252481 811
99 253292 910
100 254202 1055
101 255257 5133
102 260390 7826
103 268216 5320
104 273536 11009
105 284545 1834
106 286379 7269
107 293648 3690
108 297338 7928
109 305266 480
110 305746 5215
111 310961 2496
112 313457 3083
113 316540 3881
114 320421 751
115 321172 873
116 322045 5674
117 327719 1486
118 329205 2140
119 331345 2620
120 333965 3668
121 337633 3272
122 340905 2088
123 342993 4828
124 347821 10144
125 357965 589
126 358554 3166
127 361720 3455
128 365175 5316
129 370491 3765
130 374256 6250
131 380506 9858
132 390364 2077
133 392441 1633
134 394074 3125
135 397199 5582
136 402781 3670
137 406451 1984
138 408435 4396
139 412831 1366
140 414197 9455
141 423652 4578
142 428230 2583
143 430813 3577
144 434390 1805
145 436195 1485
146 437680 1507
147 439187 4718
148 443905 2893
149 446798 8561
150 455359 7777
151 463136 5308
152 468444 3043
153 471487 7126
154 478613 1196
155 479809 2803
156 482612 2590
157 485202 1950
158 487152 2319
159 489471 526
160 489997 5883
161 495880 519
162 496399 2075
163 498474 6627
164 505101 5882
165 510983 2520
166 513503 3074
167 516577 8941
168 525518 3616
169 529134 3893
170 533027 3040
171 536067 8956
172 545023 4040
173 549063 3393
174 552456 3638
175 556094 1467
176 557561 4482
177 562043 1022
178 563065 1776
179 564841 5596
180 570437 2095
181 572532 1796
182 574328 15854
183 590182 5933
184 596115 2254
185 598369 2618
186 600987 5403
187 606390 3922
188 610312 13771
189 624083 3826
190 627909 1849
191 629758 3639
192 633397 6594
193 639991 2961
194 642952 565
195 643517 4690
196 648207 4556
197 652763 2710
198 655473 4743
199 660216 2158
200 662374 740
201 663114 1972
202 665086 3137
203 668223 2454
204 670677 7790
205 678467 2667
206 681134 2018
207 683152 6221
208 689373 4249
209 693622 4369
210 697991 3838
211 701829 6891
212 708720 3608
213 712328 3288
214 715616 4628
215 720244 5270
216 725514 4447
217 729961 3423
218 733384 4125
219 737509 1143
220 738652 7951
221 746603 4575
222 751178 4393
223 755571 4378
224 759949 4090
225 764039 5568
226 769607 7802
227 777409 2350
228 779759 2131
229 781890 2954
230 784844 2948
231 787792 4618
232 792410 5433
233 797843 3172
234 801015 4092
235 805107 5464
236 810571 4686
237 815257 5122
238 820379 2494
239 822873 2732
240 825605 2972
241 828577 8266
242 836843 1232
243 838075 774
244 838849 207
245 839056 4152
246 843208 3348
247 846556 1548
248 848104 9953
249 858057 3072
250 861129 8759
251 869888 3967
252 873855 5249
253 879104 4936
254 884040 8588
255 892628 4801
256 897429 3924
257 901353 525
258 901878 4690
259 906568 4398
260 910966 3818
261 914784 5829
262 920613 7221
263 927834 6473
264 934307 2577
265 936884 3364
266 940248 971
267 941219 22915
268 964134 18585
269 982719 2587
270 985306 8481
271 993787 1650
272 995437 2398
273 997835 7140
274 1004975 3343
275 1008318 11018
276 1019336 2879
277 1022215 3515
278 1025730 3226
279 1028956 4840
280 1033796 7269
281 1041065 6907
282 1047972 6196
283 1054168 1078
284 1055246 2789
285 1058035 3450
286 1061485 1050
287 1062535 2441
288 1064976 1557
